country_gpi,gpi_score,gpi_rank
Iceland,1.095,1
Ireland,1.26,2
New Zealand,1.282,3
Austria,1.294,4
Switzerland,1.294,5
Singapore,1.357,6
Portugal,1.371,7
Denmark,1.393,8
Slovenia,1.409,9
Finland,1.42,10
Czechia,1.435,11
Japan,1.44,12
Malaysia,1.469,13
Netherlands,1.491,14
Canada,1.491,14
Belgium,1.492,16
Hungary,1.5,17
Australia,1.505,18
Croatia,1.519,19
Germany,1.533,20
Bhutan,1.536,21
Latvia,1.558,22
Lithuania,1.558,22
Estonia,1.559,24
Spain,1.578,25
Mauritius,1.586,26
Qatar,1.593,27
Slovakia,1.609,28
Bulgaria,1.61,29
United Kingdom,1.634,30
Kuwait,1.642,31
Norway,1.644,32
Italy,1.662,33
Montenegro,1.685,34
Sweden,1.709,35
Poland,1.713,36
Mongolia,1.719,37
Romania,1.721,38
Vietnam,1.721,38
Taiwan,1.73,40
South Korea,1.736,41
Oman,1.738,42
Botswana,1.743,43
Timor-Leste,1.758,44
Greece,1.764,45
Argentina,1.768,46
Laos,1.783,47
Uruguay,1.784,48
Indonesia,1.786,49
Namibia,1.789,50
North Macedonia,1.799,51
Albania,1.812,52
United Arab Emirates,1.812,52
Costa Rica,1.843,54
The Gambia,1.855,55
Kazakhstan,1.875,56
Sierra Leone,1.887,57
Armenia,1.893,58
Madagascar,1.895,59
Bosnia and Herzegovina,1.895,59
Ghana,1.898,61
Chile,1.899,62
Kosovo,1.908,63
Serbia,1.914,64
Zambia,1.914,64
Moldova,1.918,66
Uzbekistan,1.926,67
Cyprus,1.933,68
Senegal,1.936,69
Liberia,1.939,70
Malawi,1.955,71
Jordan,1.957,72
Tanzania,1.965,73
France,1.967,74
Paraguay,1.981,75
Nepal,1.987,76
Angola,1.987,76
Kyrgyz Republic,1.988,78
Tajikistan,1.996,79
Dominican Republic,1.996,79
Tunisia,1.998,81
Equatorial Guinea,2.004,82
Bolivia,2.005,83
Panama,2.006,84
Morocco,2.012,85
Thailand,2.017,86
Cambodia,2.019,87
Turkmenistan,2.019,87
Trinidad and Tobago,2.02,89
Saudi Arabia,2.035,90
Rwanda,2.036,91
Algeria,2.042,92
Jamaica,2.047,93
Côte d'Ivoire,2.066,94
Azerbaijan,2.067,95
Peru,2.073,96
Sri Lanka,2.075,97
China,2.093,98
Eswatini,2.094,99
Bahrain,2.099,100
Guinea-Bissau,2.112,101
Cuba,2.123,102
Republic of the Congo,2.132,103
El Salvador,2.136,104
Philippines,2.148,105
Guyana,2.149,106
Egypt,2.157,107
Guatemala,2.174,108
Georgia,2.185,109
Mauritania,2.204,110
Nicaragua,2.207,111
Benin,2.211,112
Uganda,2.217,113
Zimbabwe,2.223,114
India,2.229,115
Papua New Guinea,2.23,116
Gabon,2.238,117
Guinea,2.253,118
Lesotho,2.267,119
Belarus,2.267,119
Mozambique,2.273,121
Djibouti,2.276,122
Bangladesh,2.318,123
South Africa,2.347,124
Honduras,2.347,124
Togo,2.381,126
Kenya,2.392,127
United States of America,2.443,128
Ecuador,2.459,129
Brazil,2.472,130
Libya,2.478,131
Eritrea,2.542,132
Burundi,2.574,133
Chad,2.593,134
Mexico,2.636,135
Lebanon,2.674,136
Cameroon,2.683,137
Ethiopia,2.688,138
Venezuela,2.692,139
Colombia,2.695,140
Haiti,2.731,141
Iran,2.75,142
Niger,2.759,143
Pakistan,2.797,144
Palestine,2.811,145
Turkiye,2.852,146
Iraq,2.862,147
Nigeria,2.869,148
North Korea,2.911,149
Central African Republic,2.912,150
Somalia,2.983,151
Burkina Faso,3.016,152
Myanmar,3.045,153
Mali,3.061,154
Israel,3.108,155
South Sudan,3.117,156
Syria,3.184,157
Afghanistan,3.229,158
Yemen,3.262,159
Democratic Republic of the Congo,3.292,160
Sudan,3.323,161
Ukraine,3.434,162
Russia,3.441,163
